Stkcd,Trdynt,Yopnprc,Yclsprc,Ynshrtrd,Ysmvosd,Ysmvttl,Yretwd,Yretnd,Yarkettype
10,2010,11.95,14.63,159197252,991823.97,2150865.26,0.233558,0.233558,4
10,2012,13.9,18.7,291294687,1267744.92,2749226.28,0.278196,0.278195,4
10,2013,19.64,7.67,1312816428,2079915.2,4510495.27,0.640641,0.640642,4
10,2014,7.77,7.4,1995250593,2650365.12,4351716.43,-0.035202,-0.035202,4
10,2015,8.14,10.1,3964166075,4120092.24,8280532.6,0.364865,0.364865,4
10,2016,10.16,7.69,3725457994,3136981.12,6304682.74,-0.238614,-0.238614,4
10,2017,7.71,5.42,3409276630,2830169.52,4443612.54,-0.295189,-0.295189,4
11,1995,5.3,2.8,61598477,232632.4,1222683.29,-0.406063,-0.399628,4
11,1996,2.75,8.01,846528773,732044.31,3847522.3,2.187827,2.1825,4
11,1997,7.9,5.61,446192405,512705.19,2694706.63,-0.299625,-0.299625,4
11,1998,5.62,7.08,320448869,647050.4,3400806.23,0.262032,0.262032,4
11,1999,7,6.54,639027086,597699.1,3141422.7,-0.076271,-0.076271,4
11,2000,6.54,10.95,619931974,1000734.74,5259721.5,0.674312,0.674312,4
11,2001,11.05,8.34,267822791,762203.44,4006034.46,-0.238356,-0.238356,4
11,2002,8.38,5.41,206974674,494426.93,2598638.66,-0.351319,-0.351319,4
11,2003,5.35,4.05,139908839,370134.77,1945376.45,-0.251386,-0.251386,4
11,2004,4.14,3.8,212087781,347286.94,1825291.48,-0.061728,-0.061728,4
11,2005,3.81,5.22,627203607,477062.59,2507374.08,0.373684,0.373684,4
11,2006,5.74,5.7,341821807,520930.41,2737937.22,0.091954,0.091954,4
11,2007,5.78,12.66,724103012,1157013.86,6081102.67,1.221053,1.221053,4
11,2008,12.61,3.89,208293941,355511.76,1868541.13,-0.692733,-0.692733,4
11,2009,3.93,10.69,1116015452,1493791.72,5648316.45,3.20533,3.205804,4
11,2010,10.79,6.83,1709531152,954405.75,3608793.39,-0.361085,-0.361085,4
11,2011,6.89,6.17,2407029119,895603.46,3260099.9,-0.096632,-0.096633,4
11,2012,6.28,7.19,1923326092,1049274.59,3799007.97,0.165316,0.165316,4
11,2013,7.26,7.81,1777744305,1373098.05,4126599.76,0.086231,0.086231,4
11,2014,7.75,9.98,1480781335,1755109.01,5273171.01,0.327072,0.309859,4
11,2015,10.11,14.52,3897069966,2553525.33,7671988.29,0.471215,0.476954,4
11,2016,14.53,18.73,3732501942,3293906.98,9896442.19,0.298388,0.295455,4
11,2017,18.66,16.79,2475387034,2952733.49,8871396.92,-0.094538,-0.093967,4
12,1995,6.25,3.94,83358474,243305.26,1030658.26,-0.202891,-0.200306,4
12,1996,3.9,10.23,1034955858,821247.88,3478863.99,2.38836,2.388071,4
12,1997,10.1,6.69,459258240,716940.52,3037042.31,-0.186968,-0.184131,4
12,1998,6.7,5.72,269904300,612989.5,2596693.87,-0.144993,-0.144993,4
12,1999,5.66,5.4,300402188,578696.38,2451424.28,-0.055944,-0.055944,4
12,2000,5.39,25.47,657738815,2729517.94,11562551.21,3.716667,3.716667,4
12,2001,25.48,12.18,58704196,1305281.84,4603100.56,-0.518989,-0.517079,4
12,2002,12.03,8.91,322975910,954849.03,3367292.77,-0.262931,-0.2578,4
12,2003,8.9,7.35,567569650,787670.08,2777733.09,-0.162275,-0.158249,4
12,2004,7.34,8.75,450494100,937702.47,3306825.11,0.212521,0.214966,4
12,2005,8.7,4.62,746855069,742660.36,2619005.49,-0.17308,-0.179429,4
12,2006,4.7,11,1566780602,2393895.88,6235727.36,2.295734,2.278983,4
12,2007,11.15,21.3,1848944620,8230241.59,15748885.7,0.99127,0.977273,4
12,2008,21.42,8.5,1854155705,4588141.04,6702456.59,-0.597247,-0.593897,4
12,2009,8.6,19.6,4998035464,11110932.38,15193122.38,1.319865,1.317647,4
12,2010,19.79,19.75,7643976388,25171089.71,25954207.09,0.742646,0.730867,4
12,2011,19.89,9.06,6237847489,11685879.59,11898072.8,-0.531162,-0.523544,4
12,2012,9.13,8.25,4698198074,10755043.12,10830200.44,-0.071412,-0.069536,4
12,2013,8.38,8.14,6881693677,10602084.4,10685797.76,-0.000352,0.004848,4
12,2014,8.14,8.89,5950958331,11581612.6,11671048.19,0.137579,0.128993,4
12,2015,8.9,13.35,10521641596,17409359.89,17525233.43,0.5528,0.55793,4
12,2016,13.27,11.34,7583552690,14788175.37,14887572.35,-0.126612,-0.12809,4
12,2017,11.33,8.45,5240236405,12754458.7,13580636.83,-0.13463,-0.134259,4
13,1995,4.44,3.6,89281209,184150.21,974141.92,-0.006501,-0.004505,4
13,1996,3.5,8.21,675662773,419964.78,2221584.78,1.306106,1.302778,4
13,1997,8.3,6.9,311190726,352954.56,1867105.36,-0.159562,-0.159562,4
13,1998,7,5.53,120247317,282875.18,1496390.23,-0.192119,-0.191304,4
13,1999,5.34,8.18,263943175,418430.19,2213466.93,0.479204,0.479204,4
13,2000,8.2,13.9,330559616,711024.41,3761270.21,0.699267,0.699267,4
13,2001,13.97,8.99,147822713,459863.99,2432648.86,-0.353237,-0.353237,4
13,2002,9,4.8,164121560,245533.61,1298855.9,-0.466073,-0.466073,4
13,2003,4.8,2.69,255166471,137601.13,727900.49,-0.439583,-0.439583,4
13,2004,2.62,2.47,111095780,126347.5,668369.6,-0.081784,-0.081784,4
14,1995,8.04,3.39,67652110,153296.99,303902.48,-0.464448,-0.46118,4
14,1996,3.38,6.08,625949790,274939.73,545052.24,0.813569,0.818584,4
14,1997,5.9,7.6,507465736,343674.67,681315.3,0.25,0.25,4
14,1998,7.73,6.5,344425559,293932.28,582703.88,-0.144737,-0.144737,4
14,1999,6.41,6.27,252894906,283531.6,562085.12,-0.035385,-0.035385,4
14,2000,6.25,14.5,405748367,655695.09,1299877.88,1.3126,1.3126,4
14,2001,14.4,13.2,251715231,596908.63,1183337.1,-0.089655,-0.089655,4
14,2002,13.5,9.7,112887880,438637.4,869573.48,-0.265152,-0.265152,4
14,2003,9.7,6.69,98977530,302524.15,599736.76,-0.308115,-0.307216,4
14,2004,6.7,5.61,151865271,253686.17,502918.27,-0.158081,-0.156652,4
14,2005,5.6,6.64,212145447,300263.13,595254.42,0.19014,0.188948,4
14,2006,6.68,7.23,778461756,622826.67,972219,1.082485,1.080964,4
14,2007,7.25,19.26,1230741089,1890035.47,2589894.61,1.66508,1.66473,4
14,2008,17.33,7.36,421887389,1083372.4,1484550.18,-0.425777,-0.425493,4
14,2009,7.37,15.5,1213896334,3126410.79,3126430.4,1.109841,1.110054,4
14,2010,15.51,9.19,1274808289,1853661.95,1853670.67,-0.405711,-0.405161,4
14,2011,9.18,4.9,592803347,988355.42,988355.42,-0.464531,-0.463003,4
14,2012,4.91,8.48,2748145553,1710459.99,1710459.99,0.735233,0.734694,4
14,2013,8.55,10.26,2475182767,2069495.22,2069495.22,0.213338,0.212854,4
14,2014,10.2,13.8,1122754988,2783531.58,2783531.58,0.347308,0.346491,4
14,2015,13.92,22.81,2294771812,4600895.32,4600895.32,0.653885,0.654275,4
14,2016,22.85,20.79,1291113775,4193450.84,4193450.84,-0.086584,-0.086936,4
14,2017,20.87,10.78,697922039,2174381.92,2174381.92,-0.481055,-0.48076,4
15,1995,4.25,3.03,56933683,79575.68,410181.46,-0.292056,-0.292056,4
15,1996,3.05,10.96,354487724,287838.1,1483692.68,2.617162,2.617162,4
15,1997,11.2,6.32,261539938,165979.63,855560.01,-0.423358,-0.423358,4
15,1998,6.3,4.23,124542486,111090.8,572629.57,-0.330696,-0.330696,4
15,1999,4.18,5.4,266793947,141818.04,731016.47,0.276596,0.276596,4
15,2000,5.42,8.49,110734842,222969.47,1149320.34,0.572222,0.572222,4
15,2001,8,6.85,17632690,179898.81,927307.93,-0.193168,-0.193168,4
16,1995,6.18,4.79,79503483,292447.46,1168900.92,-0.170718,-0.160194,4
16,1996,4.7,15.35,707195105,1217003.4,4869607.05,2.825218,2.067126,4
16,1997,15.45,23.99,543174260,1902013.78,7610545.47,0.590745,0.596743,4
16,1998,24.2,15.1,111218700,1557175.83,5149843.01,-0.275886,-0.25608,4
16,1999,15,15.8,369509517,3220308.66,7730292.93,0.325003,0.208088,4
16,2000,15.8,14.97,864975464,3356254.6,8056628.69,0.062981,0.067532,4
16,2001,15.02,8.1,202680835,1816009.5,3233102.45,-0.452255,-0.448898,4
16,2002,8.08,6.81,412633741,1526793.17,2718200.94,-0.159259,-0.159259,4
16,2003,6.75,6.7,370538630,1502131.32,2674294.62,-0.016153,-0.016153,4
16,2004,6.6,5.4,399939538,1210673,2155401.63,-0.19403,-0.19403,4
16,2005,5.35,3.52,329804872,789179.44,1405002.54,-0.348148,-0.348148,4
16,2006,3.52,4.16,1031085824,1165816.86,1660457.55,0.477271,0.477273,4
16,2007,4.18,8.88,2550761553,2488570.61,3544438.24,1.158281,1.158654,4
16,2008,8.9,3.15,2670629965,1889712.49,2514635.24,-0.290541,-0.290541,4
16,2009,3.23,7.69,5670490459,4613307.98,6138903.16,1.464879,1.457143,4
16,2010,7.7,4.76,5313301170,2855571.65,3799893.24,-0.37972,-0.379714,4
16,2011,4.77,3.16,2633249771,1895715.63,2522618.2,-0.334666,-0.334034,4
16,2012,3.17,3.16,1857267800,1895731.27,2522618.2,0.00295,0.003165,4
16,2013,3.16,3.86,2778560537,2315671.75,3081426.03,0.225301,0.224684,4
16,2014,3.86,5.99,3547869046,3593490.61,4781798.43,0.555663,0.554404,4
16,2015,5.99,6.91,11916955952,8290824.75,11033339.42,1.308026,1.308848,4
16,2016,6.91,4.51,8031497589,7200638.04,7200638.04,-0.347323,-0.347323,4
16,2017,4.52,6.06,4360609859,9675240.26,9675358.43,0.343681,0.343681,4
17,1995,4.6,2.86,63141390,219510.72,860323.33,-0.264529,-0.263291,4
17,1996,2.82,6.82,992841252,523448.64,2051540.25,1.384615,1.384615,4
17,1997,6.8,7.68,764542346,589455.36,2310238.88,0.1261,0.1261,4
17,1998,7.78,5.77,239252330,442859.04,1735687.28,-0.248698,-0.248698,4
17,1999,5.65,5.37,394152999,412158.24,1615362.34,-0.069324,-0.069324,4
17,2000,5.63,9.14,611703670,701513.28,2749424.92,0.702048,0.702048,4
